Investigator,Slot,Mean
Parallel Daisy Walker,Accessory,0.9398143541066626
Parallel Daisy Walker,Ally,3.1347583123718183
Parallel Daisy Walker,Arcane,1.1938342660676973
Parallel Daisy Walker,Body,1.3772604692315928
Parallel Daisy Walker,Hand,7.799330548138512
Parallel Daisy Walker,Tarot,0.009311573899933579
Hank Samson,Accessory,1.8001443284731915
Hank Samson,Ally,2.766422519157787
Hank Samson,Arcane,0.20305249825838295
Hank Samson,Body,1.7905538482784678
Hank Samson,Hand,9.600288656946383
Hank Samson,Tarot,0.01845931802348936
Jacqueline Fine,Accessory,1.9876668865959912
Jacqueline Fine,Ally,2.3277541076077854
Jacqueline Fine,Arcane,5.59978514447429
Jacqueline Fine,Body,1.060050670686932
Jacqueline Fine,Hand,3.1376480848769854
Jacqueline Fine,Tarot,0.16254184205065644
Parallel Roland Banks,Accessory,1.05866724810433
Parallel Roland Banks,Ally,2.8025054457558802
Parallel Roland Banks,Arcane,0.45520351164296385
Parallel Roland Banks,Body,0.4314706326889291
Parallel Roland Banks,Hand,5.2082533855521955
Parallel Roland Banks,Tarot,0.23309588959962868
Akachi Onyele,Accessory,2.0838133205245537
Akachi Onyele,Ally,2.2422855953661465
Akachi Onyele,Arcane,7.170306079741191
Akachi Onyele,Body,1.1595148243389053
Akachi Onyele,Hand,3.6928212059485808
Akachi Onyele,Tarot,0.2676555780032267
Kōhaku Narukami,Accessory,1.874359778336497
Kōhaku Narukami,Ally,1.7754943702527417
Kōhaku Narukami,Arcane,3.125640221663503
Kōhaku Narukami,Body,0.8123176857365485
Kōhaku Narukami,Hand,3.5918314567509144
Kōhaku Narukami,Tarot,0.023209076735329955
Wilson Richards,Accessory,1.470675181707107
Wilson Richards,Ally,1.913961808318583
Wilson Richards,Arcane,0.21425052168998043
Wilson Richards,Body,1.7501231740850685
Wilson Richards,Hand,11.428993739720235
Wilson Richards,Tarot,0.025205943728232993
Ursula Downs,Accessory,1.9765817936520866
Ursula Downs,Ally,3.7799686670037214
Ursula Downs,Arcane,0.4521970341372785
Ursula Downs,Body,0.5115359385562106
Ursula Downs,Hand,4.763092723443489
Ursula Downs,Tarot,0.06891850968959953
Parallel Jenny Barnes,Accessory,0.9230769230769231
Parallel Jenny Barnes,Ally,1.2307692307692308
Parallel Jenny Barnes,Arcane,0.15384615384615385
Parallel Jenny Barnes,Body,0.46153846153846156
Parallel Jenny Barnes,Hand,5.384615384615385
Parallel Jenny Barnes,Tarot,0.0
Parallel Agnes Baker,Accessory,1.8561092812285696
Parallel Agnes Baker,Ally,2.033773845274345
Parallel Agnes Baker,Arcane,4.775003740138366
Parallel Agnes Baker,Body,1.0963795459223278
Parallel Agnes Baker,Hand,2.0150722931694243
Parallel Agnes Baker,Tarot,0.1560044847806741
Daniela Reyes,Accessory,1.5167408182880726
Daniela Reyes,Ally,3.0834676798133773
Daniela Reyes,Arcane,1.5781005536296449
Daniela Reyes,Body,1.2841698087055513
Daniela Reyes,Hand,6.050278489138346
Daniela Reyes,Tarot,0.011479207654059352
Winifred Habbamock,Accessory,1.6833009308300175
Winifred Habbamock,Ally,1.7125019215552826
Winifred Habbamock,Arcane,0.19103911180167546
Winifred Habbamock,Body,1.0222201959323511
Winifred Habbamock,Hand,3.8666225985666265
Winifred Habbamock,Tarot,0.055828856405833675
Nathaniel Cho,Accessory,1.1448026359533052
Nathaniel Cho,Ally,2.562160985785866
Nathaniel Cho,Arcane,0.604488133306821
Nathaniel Cho,Body,1.0179804236609915
Nathaniel Cho,Hand,4.5785270594585015
Nathaniel Cho,Tarot,0.10008119165725692
Gloria Goldberg,Accessory,2.0079305751216605
Gloria Goldberg,Ally,2.7770161862358904
Gloria Goldberg,Arcane,5.401041267168568
Gloria Goldberg,Body,0.613851540384861
Gloria Goldberg,Hand,3.1892388957929376
Gloria Goldberg,Tarot,0.16958637441419144
Rex Murphy,Accessory,1.6716874177220356
Rex Murphy,Ally,2.7150084523602764
Rex Murphy,Arcane,0.8232034041503484
Rex Murphy,Body,0.8248032571852476
Rex Murphy,Hand,4.472553848488629
Rex Murphy,Tarot,0.3854193471171271
Stella Clark,Accessory,2.1982323445378693
Stella Clark,Ally,2.5270472862448496
Stella Clark,Arcane,0.20444184427478926
Stella Clark,Body,0.5600024370053864
Stella Clark,Hand,5.48572685493046
Stella Clark,Tarot,0.04456389714001618
George Barnaby,Accessory,2.0
George Barnaby,Ally,2.628571428571428
George Barnaby,Arcane,0.5714285714285713
George Barnaby,Body,0.2571428571428571
George Barnaby,Hand,5.199999999999998
George Barnaby,Tarot,0.0
Wendy Adams,Accessory,1.9726916896181486
Wendy Adams,Ally,2.1071914220265677
Wendy Adams,Arcane,0.6670509856556353
Wendy Adams,Body,0.8068455687817429
Wendy Adams,Hand,4.4720511899571145
