Investigator,Pack,Card_Code,Card,Index,Score,Mean,Slot,Faction,Decks,Recent Decks
Roland Banks,40-tcu,05025,Connect the Dots,2,0.5490270836154166,0.052887545010859544,,Seeker,43.91123031861466,28.800012881815476
Roland Banks,14-uau,02225,"""If it bleeds...""",1,0.5487354784253975,0.07165356618586365,,Guardian,44.46707947878463,28.800012881815476
Roland Banks,20-ptc,03022,"""Let me handle this!""",2,0.5455794862935793,0.06017850470723828,,Guardian,44.43962870312817,28.800012881815476
Roland Banks,60-har,60207,Disc of Itzamna: Protective Amulet,2,0.544477770875838,0.05110746268601819,Accessory,Seeker,42.01482682941456,28.800012881815476
Roland Banks,20-ptc,03021,True Grit,1,0.5403395710144846,0.05132718392453796,,Guardian,44.43962870312817,28.800012881815476
Roland Banks,30-tfa,04017,Survival Knife,2,0.536763933796098,0.05133092483427725,Hand,Guardian,44.30288365884679,28.800012881815476
Roland Banks,53-dsm,06195,.35 Winchester,1,0.5338179687667534,0.054975310363033734,Hand x2,Guardian,42.4853329923841,28.800012881815476
Roland Banks,11-tmm,02117,Painkillers,1,0.5291602846660206,0.04686580149836328,,Neutral,44.48096262969135,28.800012881815476
Roland Banks,20-ptc,03021,True Grit,2,0.5285715218567302,0.04671507764219816,,Guardian,44.43962870312817,28.800012881815476
Roland Banks,16-litas,02302,Dr. William T. Maleson: Working on Something Big,2,0.5284536872294284,0.05323719419831498,Ally,Seeker,44.448147909366384,28.800012881815476
Roland Banks,35-tdoy,04265,Handcuffs,2,0.5177448586650306,0.04376987154385548,,Guardian,43.977292327810446,28.800012881815476
Roland Banks,72-def,07152,Keen Eye,1,0.5095886190659542,0.04537723558160048,,Guardian,36.67101109324093,28.800012881815476
Roland Banks,00-btb,90030,Roland's .38 Special,1,0.4986961323317413,0.0427219775937074,Hand,Neutral,44.49398751695379,28.800012881815476
Roland Banks,51-sfk,06110,First Watch,1,0.49749480904395676,0.038886942051464826,,Guardian,42.82751929272558,28.800012881815476
Roland Banks,60-nat,60112,Counterpunch,1,0.4969688905253448,0.042477141671996455,,Guardian,42.01482682941456,28.800012881815476
Roland Banks,90-tskp,09045,Research Notes,2,0.493955166104206,0.03472220669149099,Hand,Seeker,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09021,Hunter's Armor,2,0.4936780617395259,0.03472220669149099,Body,Guardian,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09027,Grievous Wound,2,0.4936010926391742,0.03472220669149099,,Guardian,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09047,Captivating Discovery,2,0.4936010926391742,0.03472220669149099,,Seeker,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09049,Analysis,2,0.4936010926391742,0.03472220669149099,,Seeker,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09023,Custom Modifications ,1,0.49306113176348254,0.03472220669149099,,Guardian,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09023,Custom Modifications ,2,0.49306113176348254,0.03472220669149099,,Guardian,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09028,Motivational Speech,1,0.49306113176348254,0.03472220669149099,,Guardian,28.800012881815476,28.800012881815476
