Investigator,Slot,Mean
Harvey Walters,Hand,6.088401789713953
Harvey Walters,Tarot,0.03630526808453459
Kate Winthrop,Accessory,1.506370856679999
Kate Winthrop,Ally,2.627846995951019
Kate Winthrop,Arcane,0.6651482688261229
Kate Winthrop,Body,0.38898797732816376
Kate Winthrop,Hand,5.109196359513467
Kate Winthrop,Tarot,0.041856466396734605
Parallel Agnes Baker,Accessory,2.0714603133567837
Parallel Agnes Baker,Ally,1.9843656346196723
Parallel Agnes Baker,Arcane,2.625713101498072
Parallel Agnes Baker,Body,1.528367883473592
Parallel Agnes Baker,Hand,1.9620125473924561
Parallel Agnes Baker,Tarot,0.01260409583957797
Silas Marsh,Accessory,1.6883791901717673
Silas Marsh,Ally,2.0386064329362843
Silas Marsh,Arcane,0.16028863721652903
Silas Marsh,Body,0.5042701750380123
Silas Marsh,Hand,6.170698819283936
Silas Marsh,Tarot,0.0
Parallel Zoey Samaras,Accessory,3.085467576295047
Parallel Zoey Samaras,Ally,2.010695663830147
Parallel Zoey Samaras,Arcane,1.0839022798301343
Parallel Zoey Samaras,Body,0.9553723335899051
Parallel Zoey Samaras,Hand,4.665823635771089
Parallel Zoey Samaras,Tarot,0.11615742795764984
Charlie Kane,Accessory,0.8477254985914586
Charlie Kane,Ally,11.395625300190265
Charlie Kane,Arcane,0.7151153963684268
Charlie Kane,Body,0.45532806090899686
Charlie Kane,Hand,3.132789482554015
Charlie Kane,Tarot,0.027430805543295987
Marie Lambeau,Accessory,1.7561550772524723
Marie Lambeau,Ally,4.371974789264052
Marie Lambeau,Arcane,4.23392985976646
Marie Lambeau,Body,0.732538862243458
Marie Lambeau,Hand,3.134341203838635
Marie Lambeau,Tarot,0.010267164049569896
Parallel Roland Banks,Accessory,1.7982610995901038
Parallel Roland Banks,Ally,2.5496409870102847
Parallel Roland Banks,Arcane,0.07998242332549049
Parallel Roland Banks,Body,0.0030423949096968217
Parallel Roland Banks,Hand,7.867959584868356
Parallel Roland Banks,Tarot,0.0
Minh Thi Phan,Accessory,1.331560614315159
Minh Thi Phan,Ally,2.552756692228405
Minh Thi Phan,Arcane,0.5639441444132728
Minh Thi Phan,Body,0.16477939506874237
Minh Thi Phan,Hand,5.217966942495926
Minh Thi Phan,Tarot,0.05224360381004204
Daniela Reyes,Accessory,1.2500005645821408
Daniela Reyes,Ally,2.9253812078690724
Daniela Reyes,Arcane,1.8255169328799452
Daniela Reyes,Body,1.2670760299662247
Daniela Reyes,Hand,5.62150592118131
Daniela Reyes,Tarot,0.04682279460124697
"Parallel ""Skids"" O'Toole",Accessory,1.2385662556212007
"Parallel ""Skids"" O'Toole",Ally,1.432063226265738
"Parallel ""Skids"" O'Toole",Arcane,0.02070567199156029
"Parallel ""Skids"" O'Toole",Body,0.7875552372447882
"Parallel ""Skids"" O'Toole",Hand,3.2233109245821665
"Parallel ""Skids"" O'Toole",Tarot,0.03635445350401124
Darrell Simmons,Accessory,1.0466629295418308
Darrell Simmons,Ally,2.082281236540265
Darrell Simmons,Arcane,0.3340841060413011
Darrell Simmons,Body,0.7436873473811088
Darrell Simmons,Hand,4.713255462079134
Darrell Simmons,Tarot,0.16704205302065056
Parallel Wendy Adams,Accessory,2.1454439596377033
Parallel Wendy Adams,Ally,1.7418282733072836
Parallel Wendy Adams,Arcane,2.2315547775542686
Parallel Wendy Adams,Body,0.614996887925272
Parallel Wendy Adams,Hand,1.7056415892013868
Parallel Wendy Adams,Tarot,0.0
Rex Murphy,Accessory,1.4505280708316868
Rex Murphy,Ally,3.00877527683502
Rex Murphy,Arcane,0.38067143582081897
Rex Murphy,Body,0.6143774341757606
Rex Murphy,Hand,5.129155520525668
Rex Murphy,Tarot,0.07458864400875159
Kymani Jones,Accessory,1.5377350161257857
Kymani Jones,Ally,1.815206962401202
Kymani Jones,Arcane,0.31197495054007557
Kymani Jones,Body,1.0775697173710954
Kymani Jones,Hand,5.22470837820413
Kymani Jones,Tarot,0.13744354766056485
William Yorick,Accessory,1.9586882636997274
William Yorick,Ally,2.73989053752719
William Yorick,Arcane,0.7074952456736204
William Yorick,Body,1.7530731405394042
William Yorick,Hand,6.522029647408129
William Yorick,Tarot,0.08168130581496919
"Parallel ""Ashcan"" Pete",Accessory,0.7655733727405509
"Parallel ""Ashcan"" Pete",Ally,1.1577569233388751
"Parallel ""Ashcan"" Pete",Arcane,0.3192050061224995
"Parallel ""Ashcan"" Pete",Body,0.446739960242586
"Parallel ""Ashcan"" Pete",Hand,3.7799495856989234
"Parallel ""Ashcan"" Pete",Tarot,0.0
Sefina Rousseau,Accessory,1.7438351059817692
Sefina Rousseau,Ally,1.6609065692408058
Sefina Rousseau,Arcane,1.5712104032935228
Sefina Rousseau,Body,0.7619949126259268
Sefina Rousseau,Hand,2.4028157984640286
Sefina Rousseau,Tarot,0.06642845834902746
Zoey Samaras,Accessory,1.8071567237413821
Zoey Samaras,Ally,2.587375076516457
Zoey Samaras,Arcane,1.3381426134596994
Zoey Samaras,Body,1.3486719755569616
Zoey Samaras,Hand,5.717832734569044
Zoey Samaras,Tarot,0.06176186259716725
Ursula Downs,Accessory,1.6838307216688002
Ursula Downs,Ally,3.7034413848176806
Ursula Downs,Arcane,0.25677018387617173
Ursula Downs,Body,0.46508528091553214
Ursula Downs,Hand,4.940309261384727
Ursula Downs,Tarot,0.05303624690898328
Parallel Monterey Jack,Accessory,4.167264095726333
Parallel Monterey Jack,Ally,1.8172263139718972
Parallel Monterey Jack,Arcane,1.2622027966299072
Parallel Monterey Jack,Body,0.9928962842209549
Parallel Monterey Jack,Hand,4.66067917529392
Parallel Monterey Jack,Tarot,0.0
Wilson Richards,Accessory,1.3804652091688998
Wilson Richards,Ally,1.9275304363487809
Wilson Richards,Arcane,0.14493912730243808
Wilson Richards,Body,1.7463565272207333
Wilson Richards,Hand,11.488769662711615
Wilson Richards,Tarot,0.0
